passID,timestamp,stationRef,vehicleRef,charge,stationAbbr,stationFK,vehicle,vehicleFK,homeCompany,passType
ZIK8298699,4/1/2019 08:11,OO06,UA13YTK28483,2.5,OO06,77,UA13YTK28483,63,MR,away
GBM5773955,4/1/2019 08:41,OO01,AT19HLV57173,2.8,OO01,72,AT19HLV57173,45,OO,home
PLP9237083,4/1/2019 08:43,OO05,RK48BOP88344,2.8,OO05,76,RK48BOP88344,35,OO,home
PSV9420885,4/1/2019 08:56,NE15,BI87HYL81972,2.2,NE15,69,BI87HYL81972,92,MR,away
OQE5431179,4/1/2019 09:27,KO06,KB55KTM48860,2.5,KO06,41,KB55KTM48860,94,KO,home
FRP9290882,4/1/2019 09:32,AO15,BZ76ROL87339,1.0,AO15,16,BZ76ROL87339,39,AO,home
VIG3313800,4/1/2019 15:15,KO06,IX01MVL33676,2.5,KO06,41,IX01MVL33676,77,KO,home
BMV9911239,4/1/2019 15:27,GF00,BY85QGR11636,2.5,GF00,21,BY85QGR11636,25,GF,home
BWS1548433,4/1/2019 16:03,EG07,TV81MAQ99005,2.8,EG07,29,TV81MAQ99005,99,EG,home
DPC4921911,4/1/2019 16:38,MR06,UA13YTK28483,2.8,MR06,51,UA13YTK28483,63,MR,home
FAD4262737,4/1/2019 16:52,AO08,DV04FQL29609,3.1,AO08,9,DV04FQL29609,96,AO,home
BOS5722123,4/1/2019 17:39,MR05,QO68DIC93032,2.5,MR05,50,QO68DIC93032,50,MR,home
BIP4596977,4/1/2019 17:45,MR00,HE38BQH01623,2.8,MR00,45,HE38BQH01623,54,MR,home
IZU3260044,4/1/2019 18:05,MR03,HR53SRO94328,13.0,MR03,48,HR53SRO94328,47,MR,home
IOI0658573,4/1/2019 19:07,OO02,PD45WOT56494,2.0,OO02,73,PD45WOT56494,6,NE,away
ELI0385232,4/1/2019 21:05,MR08,HE38BQH01623,2.8,MR08,53,HE38BQH01623,54,MR,home
SCB3162252,4/1/2019 21:05,OO05,VJ92OYV94295,2.5,OO05,76,VJ92OYV94295,57,OO,home
XRB7777819,4/1/2019 21:25,KO08,AY38OQF67603,1.5,KO08,43,AY38OQF67603,22,OO,away
VNX6112928,4/1/2019 21:30,OO02,XV40HUQ04740,1.0,OO02,73,XV40HUQ04740,8,OO,home
JBK7975831,4/1/2019 22:14,OO01,XV40HUQ04740,1.0,OO01,72,XV40HUQ04740,8,OO,home
UZV6669660,4/1/2019 22:41,NE14,FY47TUN40300,1.0,NE14,68,FY47TUN40300,73,NE,home
AST1565987,4/1/2019 23:41,NE00,QU94IGC75528,2.8,NE00,54,QU94IGC75528,88,EG,away
EPU9167801,5/1/2019 02:09,MR05,QN23UHH39091,2.8,MR05,50,QN23UHH39091,18,MR,home
UME6300154,5/1/2019 03:12,NE14,OY94SZK34436,2.5,NE14,68,OY94SZK34436,67,NE,home
IZL8111210,5/1/2019 03:29,KO05,MQ65WJJ60020,1.25,KO05,40,MQ65WJJ60020,11,KO,home
TYT3955033,5/1/2019 03:58,AO08,VL67TFO75321,2.8,AO08,9,VL67TFO75321,14,EG,away
WHI1664349,5/1/2019 05:13,NE13,QP02SYE47964,2.8,NE13,67,QP02SYE47964,46,NE,home
XSE8654212,5/1/2019 06:11,NE15,JV67MTI17124,2.5,NE15,69,JV67MTI17124,71,NE,home
TXL5895242,5/1/2019 06:41,KO05,QO77TFN61853,2.2,KO05,40,QO77TFN61853,55,KO,home
LJC9157282,5/1/2019 08:15,KO03,JO50FSF60755,2.2,KO03,38,JO50FSF60755,56,KO,home
HJW5583166,5/1/2019 09:36,MR05,BI87HYL81972,1.0,MR05,50,BI87HYL81972,92,MR,home
OIV5602818,5/1/2019 10:01,MR02,UA13YTK28483,2.8,MR02,47,UA13YTK28483,63,MR,home
DKX6181104,5/1/2019 11:20,NE00,EM54HQI58682,3.1,NE00,54,EM54HQI58682,81,OO,away
TGM8606494,5/1/2019 11:22,EG07,IW53OQE31439,2.8,EG07,29,IW53OQE31439,33,EG,home
UIC7940896,5/1/2019 11:28,EG12,TE24LCO18661,1.25,EG12,34,TE24LCO18661,49,EG,home
PZP9995637,5/1/2019 18:12,MR08,KF48RSD79865,2.8,MR08,53,KF48RSD79865,28,MR,home
HOA0727154,5/1/2019 19:13,MR03,KF48RSD79865,2.8,MR03,48,KF48RSD79865,28,MR,home
KTK8951799,5/1/2019 20:21,GF00,PF04UCA93312,3.1,GF00,21,PF04UCA93312,48,GF,home
UWV9537409,5/1/2019 21:22,AO01,DP11ENT03275,3.1,AO01,2,DP11ENT03275,98,AO,home
GYR0258541,5/1/2019 22:43,AO13,RR73DWB65452,2.8,AO13,14,RR73DWB65452,2,AO,home
SDQ5556853,5/1/2019 23:45,NE03,QP02SYE47964,2.8,NE03,57,QP02SYE47964,46,NE,home
UDF1325536,5/1/2019 23:57,OO01,AY38OQF67603,2.8,OO01,72,AY38OQF67603,22,OO,home
NQV7199789,6/1/2019 00:22,EG10,CM15YCB60994,2.0,EG10,32,CM15YCB60994,97,EG,home
INA0533953,6/1/2019 00:50,NE05,VX68BAR38623,1.5,NE05,59,VX68BAR38623,9,NE,home
AZT9656066,6/1/2019 01:25,OO05,JF94VYA88954,2.8,OO05,76,JF94VYA88954,89,OO,home
IUO2143413,6/1/2019 02:49,MR07,RR98KQE80731,1.25,MR07,52,RR98KQE80731,51,MR,home
UXT7394943,6/1/2019 02:58,EG06,EC02LZC49528,2.8,EG06,28,EC02LZC49528,31,EG,home
LJW9984906,6/1/2019 03:17,GF00,MP14WFM40909,2.8,GF00,21,MP14WFM40909,41,GF,home
TPR4294291,6/1/2019 03:35,NE15,EG95RTB75032,2.8,NE15,69,EG95RTB75032,64,NE,home
ULN8974546,6/1/2019 03:48,AO12,HT62RDI04611,2.8,AO12,13,HT62RDI04611,15,AO,home
QZK4342840,6/1/2019 03:55,MR02,QH15HWX24570,3.1,MR02,47,QH15HWX24570,23,MR,home
XWI7097584,6/1/2019 05:33,GF00,YX66XYW62640,3.1,GF00,21,YX66XYW62640,91,GF,home
MXM6404031,6/1/2019 07:06,AO14,YL27IFD65117,2.0,AO14,15,YL27IFD65117,30,AO,home
YJU8743734,6/1/2019 07:31,EG12,EC02LZC49528,2.8,EG12,34,EC02LZC49528,31,EG,home
SUH5952969,6/1/2019 09:34,NE07,QR03XCJ37459,1.5,NE07,61,QR03XCJ37459,87,OO,away
WOJ6728265,6/1/2019 11:37,MR05,RR98KQE80731,1.25,MR05,50,RR98KQE80731,51,MR,home
PAV5608102,6/1/2019 11:37,NE08,EG95RTB75032,2.8,NE08,62,EG95RTB75032,64,NE,home
CFO6913267,6/1/2019 11:39,OO08,LC72NRN52084,1.25,OO08,79,LC72NRN52084,95,OO,home
PAL2525981,6/1/2019 12:12,OO03,IC95TLY24827,2.0,OO03,74,IC95TLY24827,85,OO,home
RCF4544449,6/1/2019 12:43,KO00,WY00MLL63827,1.0,KO00,35,WY00MLL63827,79,KO,home
PVJ3943516,6/1/2019 12:54,AO15,XE59BZM26378,2.8,AO15,16,XE59BZM26378,60,EG,away
IRX8848859,6/1/2019 12:57,AO08,RR73DWB65452,2.8,AO08,9,RR73DWB65452,2,AO,home
MCD5475060,6/1/2019 13:13,KO08,MQ65WJJ60020,1.25,KO08,43,MQ65WJJ60020,11,KO,home
PFW8615887,6/1/2019 14:19,OO09,RK48BOP88344,2.8,OO09,80,RK48BOP88344,35,OO,home
ASW3119652,6/1/2019 15:33,MR06,UA13YTK28483,2.8,MR06,51,UA13YTK28483,63,MR,home
VQA8895237,6/1/2019 15:57,NE16,IA29IQS63679,1.0,NE16,70,IA29IQS63679,86,NE,home
NHL4953806,6/1/2019 16:44,OO13,LG64ARC91224,1.5,OO13,84,LG64ARC91224,43,AO,away
MAK0971449,6/1/2019 16:47,KO07,FY47TUN40300,2.8,KO07,42,FY47TUN40300,73,NE,away
JFR2402578,6/1/2019 17:25,GF00,SL09NOT64494,2.5,GF00,21,SL09NOT64494,65,GF,home
YYP0773445,6/1/2019 18:29,EG00,TZ48CCW54765,3.1,EG00,22,TZ48CCW54765,29,EG,home
LIV9253695,6/1/2019 19:23,OO03,XV40HUQ04740,1.0,OO03,74,XV40HUQ04740,8,OO,home
CCS6814108,6/1/2019 21:36,NE06,NY14GZR94632,2.8,NE06,60,NY14GZR94632,19,NE,home
KOC7962766,6/1/2019 23:08,GF00,MA30QLI76818,2.5,GF00,21,MA30QLI76818,26,GF,home
DOZ1453528,6/1/2019 23:08,GF00,BY85QGR11636,2.5,GF00,21,BY85QGR11636,25,GF,home
PFR7735501,6/1/2019 23:50,NE08,OY94SZK34436,1.0,NE08,62,OY94SZK34436,67,NE,home
RVF1714057,6/1/2019 23:54,GF00,BY85QGR11636,2.5,GF00,21,BY85QGR11636,25,GF,home
QJM2827051,7/1/2019 00:07,KO06,JO50FSF60755,2.2,KO06,41,JO50FSF60755,56,KO,home
HNU5135879,7/1/2019 00:26,MR07,UA13YTK28483,2.8,MR07,52,UA13YTK28483,63,MR,home
NUF0316968,7/1/2019 00:57,GF00,BY85QGR11636,2.5,GF00,21,BY85QGR11636,25,GF,home
MFM7697504,7/1/2019 01:12,OO09,YX66XYW62640,1.0,OO09,80,YX66XYW62640,91,GF,away
RRF5482950,7/1/2019 01:34,KO09,IX01MVL33676,2.5,KO09,44,IX01MVL33676,77,KO,home
RCS4635589,7/1/2019 01:35,MR07,HE38BQH01623,2.8,MR07,52,HE38BQH01623,54,MR,home
LZJ2868612,7/1/2019 02:19,NE12,QP02SYE47964,2.8,NE12,66,QP02SYE47964,46,NE,home
HPB9107400,7/1/2019 02:53,GF00,PF04UCA93312,3.1,GF00,21,PF04UCA93312,48,GF,home
KMK0226092,7/1/2019 03:36,OO07,JO50FSF60755,2.0,OO07,78,JO50FSF60755,56,KO,away
NRK5104296,7/1/2019 05:02,MR02,UF84JOS00561,3.1,MR02,47,UF84JOS00561,52,GF,away
RBK8060006,7/1/2019 05:27,AO05,YL27IFD65117,2.0,AO05,6,YL27IFD65117,30,AO,home
AUU6469015,7/1/2019 06:24,AO13,EM54HQI58682,2.8,AO13,14,EM54HQI58682,81,OO,away
IQN6203368,7/1/2019 08:48,EG06,SL09NOT64494,2.2,EG06,28,SL09NOT64494,65,GF,away
VXK5719170,7/1/2019 08:59,EG05,EC02LZC49528,2.8,EG05,27,EC02LZC49528,31,EG,home
QRR8447934,7/1/2019 09:03,MR00,QO68DIC93032,2.5,MR00,45,QO68DIC93032,50,MR,home
NXJ2283523,7/1/2019 10:21,NE02,FY47TUN40300,1.0,NE02,56,FY47TUN40300,73,NE,home
BPA2075644,7/1/2019 11:55,KO07,FL13UMN92207,1.0,KO07,42,FL13UMN92207,62,KO,home
GIQ5227984,7/1/2019 12:10,NE02,AT19HLV57173,2.0,NE02,56,AT19HLV57173,45,OO,away
QMM0347109,7/1/2019 12:11,OO12,BI87HYL81972,2.5,OO12,83,BI87HYL81972,92,MR,away
NBS8149331,7/1/2019 12:23,OO10,QX75YWC61835,2.5,OO10,81,QX75YWC61835,76,OO,home
WXO4856567,7/1/2019 14:15,EG10,EV77EDV52985,1.25,EG10,32,EV77EDV52985,32,NE,away
DSB0448624,7/1/2019 15:22,GF00,UF84JOS00561,2.8,GF00,21,UF84JOS00561,52,GF,home
REY3108814,7/1/2019 15:38,NE16,IA29IQS63679,1.0,NE16,70,IA29IQS63679,86,NE,home
LAO6168976,7/1/2019 15:53,OO05,DP11ENT03275,1.0,OO05,76,DP11ENT03275,98,AO,away
UQR3278904,7/1/2019 16:05,AO13,EV77EDV52985,2.8,AO13,14,EV77EDV52985,32,NE,away
DPZ9842551,7/1/2019 16:28,NE13,EG95RTB75032,2.8,NE13,67,EG95RTB75032,64,NE,home
HCX4122632,7/1/2019 18:13,AO04,PE73VJU23485,2.8,AO04,5,PE73VJU23485,100,AO,home
ARH1581655,7/1/2019 18:27,KO01,WY00MLL63827,1.0,KO01,36,WY00MLL63827,79,KO,home
HTD0281631,7/1/2019 19:53,AO08,RK48BOP88344,2.8,AO08,9,RK48BOP88344,35,OO,away
IWR8131559,7/1/2019 20:03,OO05,RK48BOP88344,2.8,OO05,76,RK48BOP88344,35,OO,home
XQT9913725,7/1/2019 21:39,AO12,LG64ARC91224,13.0,AO12,13,LG64ARC91224,43,AO,home
FDG4220162,7/1/2019 22:40,EG10,CM15YCB60994,2.0,EG10,32,CM15YCB60994,97,EG,home
SYA7107074,7/1/2019 23:04,EG07,CR31GMR97972,1.5,EG07,29,CR31GMR97972,59,EG,home
EGU0149427,7/1/2019 23:39,NE00,OY94SZK34436,2.5,NE00,54,OY94SZK34436,67,NE,home
OXK0045085,7/1/2019 23:40,KO03,KB55KTM48860,2.5,KO03,38,KB55KTM48860,94,KO,home
UTD5120164,8/1/2019 00:24,OO04,AT19HLV57173,2.8,OO04,75,AT19HLV57173,45,OO,home
UBP7692482,8/1/2019 01:47,OO07,TV81MAQ99005,3.1,OO07,78,TV81MAQ99005,99,EG,away
YQF2255735,8/1/2019 01:55,GF00,QN12NTR81378,2.8,GF00,21,QN12NTR81378,34,GF,home
TBW5744223,8/1/2019 03:13,MR06,QO68DIC93032,2.5,MR06,51,QO68DIC93032,50,MR,home
OFS6376591,8/1/2019 03:18,EG02,RK48BOP88344,2.5,EG02,24,RK48BOP88344,35,OO,away
FAE2281094,8/1/2019 05:38,OO04,SY96JDQ97089,2.0,OO04,75,SY96JDQ97089,37,AO,away
IIM9785176,8/1/2019 05:52,NE07,UP28MBM38391,1.0,NE07,61,UP28MBM38391,74,NE,home
PHE1025027,8/1/2019 06:22,MR07,KF48RSD79865,2.8,MR07,52,KF48RSD79865,28,MR,home
INQ8456777,8/1/2019 07:47,AO17,JD78PQD35395,2.8,AO17,18,JD78PQD35395,83,EG,away
DUR6384757,8/1/2019 08:11,AO01,BM25PHF40639,13.0,AO01,2,BM25PHF40639,7,AO,home
OZT5115958,8/1/2019 08:12,GF00,JE65QJK64802,2.8,GF00,21,JE65QJK64802,90,GF,home
LMA8654820,8/1/2019 09:59,AO04,EC02LZC49528,2.8,AO04,5,EC02LZC49528,31,EG,away
XTE9166677,8/1/2019 11:22,NE00,FY47TUN40300,1.0,NE00,54,FY47TUN40300,73,NE,home
PPU9152797,8/1/2019 13:04,AO13,FL13UMN92207,2.8,AO13,14,FL13UMN92207,62,KO,away
BRN7360799,8/1/2019 13:15,NE09,IA29IQS63679,1.0,NE09,63,IA29IQS63679,86,NE,home
OLV1623583,8/1/2019 14:08,OO03,LC72NRN52084,3.1,OO03,74,LC72NRN52084,95,OO,home
XVJ7652867,8/1/2019 14:18,GF00,CP56DAO45598,2.8,GF00,21,CP56DAO45598,42,GF,home
UVE2297410,8/1/2019 15:42,EG02,BI87HYL81972,1.0,EG02,24,BI87HYL81972,92,MR,away
LZP3584479,8/1/2019 15:52,NE13,QR03XCJ37459,1.5,NE13,67,QR03XCJ37459,87,OO,away
COH4374136,8/1/2019 15:53,NE01,PD45WOT56494,2.0,NE01,55,PD45WOT56494,6,NE,home
EZI7123567,8/1/2019 16:14,MR04,LM86GYO69819,2.2,MR04,49,LM86GYO69819,21,GF,away
HSO9832566,8/1/2019 16:25,AO08,LG64ARC91224,13.0,AO08,9,LG64ARC91224,43,AO,home
GWX5926658,8/1/2019 17:14,GF00,PF04UCA93312,3.1,GF00,21,PF04UCA93312,48,GF,home
PGX6872041,8/1/2019 17:34,EG01,JD78PQD35395,1.0,EG01,23,JD78PQD35395,83,EG,home
EWR8013818,8/1/2019 17:52,NE08,ZY93PCY41868,1.25,NE08,62,ZY93PCY41868,69,KO,away
AJJ7574694,8/1/2019 18:02,OO02,HE38BQH01623,1.5,OO02,73,HE38BQH01623,54,MR,away
BAM0767909,8/1/2019 18:49,AO09,BM25PHF40639,13.0,AO09,10,BM25PHF40639,7,AO,home
ZTV2947809,8/1/2019 18:51,AO05,DP11ENT03275,3.1,AO05,6,DP11ENT03275,98,AO,home
MDB4040741,8/1/2019 19:31,OO00,PD45WOT56494,1.5,OO00,71,PD45WOT56494,6,NE,away
CSG3318300,8/1/2019 21:22,MR03,IZ65WAT29135,2.0,MR03,48,IZ65WAT29135,16,MR,home
NHM3675844,8/1/2019 21:30,NE05,QO68DIC93032,3.1,NE05,59,QO68DIC93032,50,MR,away
DPB6551839,8/1/2019 21:42,KO02,KB55KTM48860,2.5,KO02,37,KB55KTM48860,94,KO,home
YZI2644272,8/1/2019 22:06,KO06,WY00MLL63827,1.0,KO06,41,WY00MLL63827,79,KO,home
DZH0114567,8/1/2019 23:17,AO06,OC94ASJ72024,1.0,AO06,7,OC94ASJ72024,12,AO,home
