pass_id,tag_id,station_id,pass_code,pass_time,rate,pass_type
62,46,54,IAQ7370002,3/1/2019 04:19,2.8,"home
"
63,77,36,KPT1084302,3/1/2019 06:06,2.5,"home
"
64,16,40,CSJ9595952,3/1/2019 06:24,1.5,"away
"
65,70,19,AJB4007132,3/1/2019 06:51,2.8,"home
"
66,40,52,IFJ1584058,3/1/2019 06:59,2.8,"home
"
67,62,38,IJN5312188,3/1/2019 08:35,1.0,"home
"
68,61,55,UZI9045597,3/1/2019 08:43,1.5,"home
"
69,82,21,DKI5609758,3/1/2019 09:23,2.5,"home
"
70,28,49,BJL0155721,3/1/2019 09:23,2.8,"home
"
71,91,21,YON4581505,3/1/2019 12:20,3.1,"home
"
72,30,5,JZP9177875,3/1/2019 14:02,2.0,"home
"
73,54,45,SSZ7103725,3/1/2019 14:43,2.8,"home
"
74,79,40,FPU0425557,3/1/2019 15:44,1.0,"home
"
75,77,40,MOS5853245,3/1/2019 16:51,2.5,"home
"
76,98,13,EWR2508893,3/1/2019 16:58,3.1,"home
"
77,4,43,FDO3407403,3/1/2019 17:39,2.8,"home
"
78,41,21,DLQ8625471,3/1/2019 19:31,2.8,"home
"
79,31,29,ZAG0725273,3/1/2019 19:34,2.8,"home
"
80,64,66,RJN3440849,3/1/2019 20:37,2.8,"home
"
81,81,76,BXR7588699,3/1/2019 21:13,2.8,"home
"
82,49,23,JZF0586381,3/1/2019 22:03,1.25,"home
"
83,53,60,AKJ5235405,3/1/2019 22:15,1.5,"away
"
84,99,31,YSK8555815,3/1/2019 22:56,2.8,"home
"
85,55,40,VAS7777913,3/1/2019 23:10,2.2,"home
"
86,79,72,OSB6924402,3/1/2019 23:11,2.8,"away
"
87,100,3,IKP1014708,3/1/2019 23:28,2.8,"home
"
88,6,61,NDS8480885,4/1/2019 00:41,1.5,"home
"
89,30,6,IEP5322365,4/1/2019 00:46,2.0,"home
"
90,73,63,LZU2500999,4/1/2019 01:37,1.0,"home
"
91,19,61,FTO5959048,4/1/2019 02:32,2.8,"home
"
92,48,21,PEO8978228,4/1/2019 02:38,3.1,"home
"
93,96,6,IWZ6784211,4/1/2019 02:51,3.1,"home
"
94,35,75,DOT0840926,4/1/2019 03:48,2.8,"home
"
95,45,76,YIC2205567,4/1/2019 04:43,2.8,"home
"
96,12,18,JYG0256462,4/1/2019 06:18,1.0,"home
"
97,13,40,FZS8692226,4/1/2019 08:01,1.0,"home
"
98,63,77,ZIK8298699,4/1/2019 08:11,2.5,"away
"
99,45,72,GBM5773955,4/1/2019 08:41,2.8,"home
"
100,35,76,PLP9237083,4/1/2019 08:43,2.8,"home
"
101,92,69,PSV9420885,4/1/2019 08:56,2.2,"away
"
102,94,41,OQE5431179,4/1/2019 09:27,2.5,"home
"
103,39,16,FRP9290882,4/1/2019 09:32,1.0,"home
"
104,77,41,VIG3313800,4/1/2019 15:15,2.5,"home
"
105,25,21,BMV9911239,4/1/2019 15:27,2.5,"home
"
106,99,29,BWS1548433,4/1/2019 16:03,2.8,"home
"
107,63,51,DPC4921911,4/1/2019 16:38,2.8,"home
"
108,96,9,FAD4262737,4/1/2019 16:52,3.1,"home
"
109,50,50,BOS5722123,4/1/2019 17:39,2.5,"home
"
110,54,45,BIP4596977,4/1/2019 17:45,2.8,"home
"
111,47,48,IZU3260044,4/1/2019 18:05,13.0,"home
"
112,6,73,IOI0658573,4/1/2019 19:07,2.0,"away
"
113,54,53,ELI0385232,4/1/2019 21:05,2.8,"home
"
114,57,76,SCB3162252,4/1/2019 21:05,2.5,"home
"
115,22,43,XRB7777819,4/1/2019 21:25,1.5,"away
"
116,8,73,VNX6112928,4/1/2019 21:30,1.0,"home
"
117,8,72,JBK7975831,4/1/2019 22:14,1.0,"home
"
118,73,68,UZV6669660,4/1/2019 22:41,1.0,"home
"
119,88,54,AST1565987,4/1/2019 23:41,2.8,"away
"
120,18,50,EPU9167801,5/1/2019 02:09,2.8,"home
"
121,67,68,UME6300154,5/1/2019 03:12,2.5,"home
"
122,11,40,IZL8111210,5/1/2019 03:29,1.25,"home
"
123,14,9,TYT3955033,5/1/2019 03:58,2.8,"away
"
124,46,67,WHI1664349,5/1/2019 05:13,2.8,"home
"
125,71,69,XSE8654212,5/1/2019 06:11,2.5,"home
"
126,55,40,TXL5895242,5/1/2019 06:41,2.2,"home
"
127,56,38,LJC9157282,5/1/2019 08:15,2.2,"home
"
128,92,50,HJW5583166,5/1/2019 09:36,1.0,"home
"
129,63,47,OIV5602818,5/1/2019 10:01,2.8,"home
"
130,81,54,DKX6181104,5/1/2019 11:20,3.1,"away
"
131,33,29,TGM8606494,5/1/2019 11:22,2.8,"home
"
132,49,34,UIC7940896,5/1/2019 11:28,1.25,"home
"
133,28,53,PZP9995637,5/1/2019 18:12,2.8,"home
"
134,28,48,HOA0727154,5/1/2019 19:13,2.8,"home
"
135,48,21,KTK8951799,5/1/2019 20:21,3.1,"home
"
136,98,2,UWV9537409,5/1/2019 21:22,3.1,"home
"
137,2,14,GYR0258541,5/1/2019 22:43,2.8,"home
"
138,46,57,SDQ5556853,5/1/2019 23:45,2.8,"home
"
139,22,72,UDF1325536,5/1/2019 23:57,2.8,"home
"
140,97,32,NQV7199789,6/1/2019 00:22,2.0,"home
"
141,9,59,INA0533953,6/1/2019 00:50,1.5,"home
"
142,89,76,AZT9656066,6/1/2019 01:25,2.8,"home
"
143,51,52,IUO2143413,6/1/2019 02:49,1.25,"home
"
144,31,28,UXT7394943,6/1/2019 02:58,2.8,"home
"
145,41,21,LJW9984906,6/1/2019 03:17,2.8,"home
"
146,64,69,TPR4294291,6/1/2019 03:35,2.8,"home
"
147,15,13,ULN8974546,6/1/2019 03:48,2.8,"home
"
148,23,47,QZK4342840,6/1/2019 03:55,3.1,"home
"
149,91,21,XWI7097584,6/1/2019 05:33,3.1,"home
"
150,30,15,MXM6404031,6/1/2019 07:06,2.0,"home
"
151,31,34,YJU8743734,6/1/2019 07:31,2.8,"home
"
152,87,61,SUH5952969,6/1/2019 09:34,1.5,"away
"
153,51,50,WOJ6728265,6/1/2019 11:37,1.25,"home
"
154,64,62,PAV5608102,6/1/2019 11:37,2.8,"home
"
155,95,79,CFO6913267,6/1/2019 11:39,1.25,"home
"
156,85,74,PAL2525981,6/1/2019 12:12,2.0,"home
"
157,79,35,RCF4544449,6/1/2019 12:43,1.0,"home
"
158,60,16,PVJ3943516,6/1/2019 12:54,2.8,"away
"
159,2,9,IRX8848859,6/1/2019 12:57,2.8,"home
"
160,11,43,MCD5475060,6/1/2019 13:13,1.25,"home
"
161,35,80,PFW8615887,6/1/2019 14:19,2.8,"home
"
162,63,51,ASW3119652,6/1/2019 15:33,2.8,"home
"
163,86,70,VQA8895237,6/1/2019 15:57,1.0,"home
"
164,43,84,NHL4953806,6/1/2019 16:44,1.5,"away
"
165,73,42,MAK0971449,6/1/2019 16:47,2.8,"away
"
166,65,21,JFR2402578,6/1/2019 17:25,2.5,"home
"
167,29,22,YYP0773445,6/1/2019 18:29,3.1,"home
"
168,8,74,LIV9253695,6/1/2019 19:23,1.0,"home
"
169,19,60,CCS6814108,6/1/2019 21:36,2.8,"home
"
170,26,21,KOC7962766,6/1/2019 23:08,2.5,"home
"
171,25,21,DOZ1453528,6/1/2019 23:08,2.5,"home
"
172,67,62,PFR7735501,6/1/2019 23:50,1.0,"home
"
173,25,21,RVF1714057,6/1/2019 23:54,2.5,"home
"
174,56,41,QJM2827051,7/1/2019 00:07,2.2,"home
"
175,63,52,HNU5135879,7/1/2019 00:26,2.8,"home
"
176,25,21,NUF0316968,7/1/2019 00:57,2.5,"home
"
177,91,80,MFM7697504,7/1/2019 01:12,1.0,"away
"
178,77,44,RRF5482950,7/1/2019 01:34,2.5,"home
"
179,54,52,RCS4635589,7/1/2019 01:35,2.8,"home
"
180,46,66,LZJ2868612,7/1/2019 02:19,2.8,"home
"
181,48,21,HPB9107400,7/1/2019 02:53,3.1,"home
"
182,56,78,KMK0226092,7/1/2019 03:36,2.0,"away
"
183,52,47,NRK5104296,7/1/2019 05:02,3.1,"away
"
184,30,6,RBK8060006,7/1/2019 05:27,2.0,"home
"
185,81,14,AUU6469015,7/1/2019 06:24,2.8,"away
"
186,65,28,IQN6203368,7/1/2019 08:48,2.2,"away
"
187,31,27,VXK5719170,7/1/2019 08:59,2.8,"home
"
188,50,45,QRR8447934,7/1/2019 09:03,2.5,"home
"
189,73,56,NXJ2283523,7/1/2019 10:21,1.0,"home
"
190,62,42,BPA2075644,7/1/2019 11:55,1.0,"home
"
191,45,56,GIQ5227984,7/1/2019 12:10,2.0,"away
"
192,92,83,QMM0347109,7/1/2019 12:11,2.5,"away
"
193,76,81,NBS8149331,7/1/2019 12:23,2.5,"home
"
194,32,32,WXO4856567,7/1/2019 14:15,1.25,"away
"
195,52,21,DSB0448624,7/1/2019 15:22,2.8,"home
"
196,86,70,REY3108814,7/1/2019 15:38,1.0,"home
"
197,98,76,LAO6168976,7/1/2019 15:53,1.0,"away
"
198,32,14,UQR3278904,7/1/2019 16:05,2.8,"away
"
199,64,67,DPZ9842551,7/1/2019 16:28,2.8,"home
"
200,100,5,HCX4122632,7/1/2019 18:13,2.8,"home
"
201,79,36,ARH1581655,7/1/2019 18:27,1.0,"home
"
202,35,9,HTD0281631,7/1/2019 19:53,2.8,"away
"
203,35,76,IWR8131559,7/1/2019 20:03,2.8,"home
"
204,43,13,XQT9913725,7/1/2019 21:39,13.0,"home
"
205,97,32,FDG4220162,7/1/2019 22:40,2.0,"home
"
206,59,29,SYA7107074,7/1/2019 23:04,1.5,"home
"
207,67,54,EGU0149427,7/1/2019 23:39,2.5,"home
"
208,94,38,OXK0045085,7/1/2019 23:40,2.5,"home
"
209,45,75,UTD5120164,8/1/2019 00:24,2.8,"home
"
210,99,78,UBP7692482,8/1/2019 01:47,3.1,"away
"
211,34,21,YQF2255735,8/1/2019 01:55,2.8,"home
"
212,50,51,TBW5744223,8/1/2019 03:13,2.5,"home
"
213,35,24,OFS6376591,8/1/2019 03:18,2.5,"away
"
214,37,75,FAE2281094,8/1/2019 05:38,2.0,"away
"
215,74,61,IIM9785176,8/1/2019 05:52,1.0,"home
"
216,28,52,PHE1025027,8/1/2019 06:22,2.8,"home
"
217,83,18,INQ8456777,8/1/2019 07:47,2.8,"away
"
218,7,2,DUR6384757,8/1/2019 08:11,13.0,"home
"
219,90,21,OZT5115958,8/1/2019 08:12,2.8,"home
"
220,31,5,LMA8654820,8/1/2019 09:59,2.8,"away
"
221,73,54,XTE9166677,8/1/2019 11:22,1.0,"home
"
222,62,14,PPU9152797,8/1/2019 13:04,2.8,"away
"
223,86,63,BRN7360799,8/1/2019 13:15,1.0,"home
"
224,95,74,OLV1623583,8/1/2019 14:08,3.1,"home
"
225,42,21,XVJ7652867,8/1/2019 14:18,2.8,"home
"
226,92,24,UVE2297410,8/1/2019 15:42,1.0,"away
"
227,87,67,LZP3584479,8/1/2019 15:52,1.5,"away
"
228,6,55,COH4374136,8/1/2019 15:53,2.0,"home
"
229,21,49,EZI7123567,8/1/2019 16:14,2.2,"away
"
230,43,9,HSO9832566,8/1/2019 16:25,13.0,"home
"
231,48,21,GWX5926658,8/1/2019 17:14,3.1,"home
"
232,83,23,PGX6872041,8/1/2019 17:34,1.0,"home
"
233,69,62,EWR8013818,8/1/2019 17:52,1.25,"away
"
234,54,73,AJJ7574694,8/1/2019 18:02,1.5,"away
"
235,7,10,BAM0767909,8/1/2019 18:49,13.0,"home
"
236,98,6,ZTV2947809,8/1/2019 18:51,3.1,"home
"
237,6,71,MDB4040741,8/1/2019 19:31,1.5,"away
"
238,16,48,CSG3318300,8/1/2019 21:22,2.0,"home
"
239,50,59,NHM3675844,8/1/2019 21:30,3.1,"away
"
240,94,37,DPB6551839,8/1/2019 21:42,2.5,"home
"
241,79,41,YZI2644272,8/1/2019 22:06,1.0,"home
"
242,12,7,DZH0114567,8/1/2019 23:17,1.0,"home
"
243,31,24,WJX5646477,9/1/2019 00:43,2.8,"home
"
244,48,21,GTQ0716183,9/1/2019 00:52,3.1,"home
"
245,85,73,DIM4006595,9/1/2019 01:58,2.0,"home
"
246,13,43,FMX7447301,9/1/2019 02:01,2.8,"home
"
247,13,44,CCT1120986,9/1/2019 02:12,2.8,"home
"
248,85,72,UBU3174102,9/1/2019 03:38,2.0,"home
"
249,100,7,PEJ6840364,9/1/2019 04:16,2.8,"home
"
250,60,30,POM1873220,9/1/2019 04:31,2.5,"home
"
251,48,21,UNO6659001,9/1/2019 05:10,3.1,"home
"
252,31,24,JIK3844618,9/1/2019 06:34,2.8,"home
"
253,55,36,KLN6484024,9/1/2019 07:14,2.2,"home
"
254,48,21,ZHC1977550,9/1/2019 07:37,3.1,"home
"
255,83,27,FKV7904848,9/1/2019 07:52,1.0,"home
"
256,77,35,NFI8367808,9/1/2019 07:57,2.5,"home
"
257,78,21,LFH0315629,9/1/2019 08:05,1.0,"home
"
258,9,61,XKS4664614,9/1/2019 08:19,1.5,"home
"
259,97,26,UMF7695471,9/1/2019 08:36,2.0,"home
"
260,4,40,SJT4290133,9/1/2019 08:45,2.8,"home
"
261,26,21,ZQV5105168,9/1/2019 09:47,2.5,"home
"
262,27,65,WIU6615713,9/1/2019 09:48,1.0,"away
"
263,55,43,FBN9889844,9/1/2019 09:59,2.2,"home
"
264,82,21,FBN6685344,9/1/2019 10:39,2.5,"home
"
265,79,61,DBF9508600,9/1/2019 11:20,2.0,"away
"
266,63,47,YYN5607187,9/1/2019 13:44,2.8,"home
"
267,40,52,KJW8914761,9/1/2019 13:49,2.8,"home
"
268,45,77,HKH2373332,9/1/2019 15:03,2.8,"home
"
269,89,72,BYG4248451,9/1/2019 15:41,2.8,"home
"
270,31,51,FNP4393498,9/1/2019 20:59,2.5,"away
"
271,88,34,JKT6128724,9/1/2019 21:17,1.25,"home
"
272,85,84,EGL5422048,9/1/2019 22:18,2.0,"home
"
273,31,32,LRM3194355,9/1/2019 22:30,2.8,"home
"
274,91,84,ORT5368959,9/1/2019 22:42,2.5,"away
"
275,87,80,CZL7820317,9/1/2019 23:32,2.8,"home
"
276,63,45,HZU4853745,9/1/2019 23:33,2.8,"home
"
277,58,22,CYJ1240238,10/1/2019 00:17,2.5,"home
"
278,94,42,FOM5485924,10/1/2019 03:24,2.5,"home
"
279,45,72,FHO5663132,10/1/2019 04:51,2.8,"home
"
280,35,77,OMN5141808,10/1/2019 05:42,2.8,"home
"
281,28,53,YMO5978142,10/1/2019 06:12,2.8,"home
"
282,94,36,QJP5702056,10/1/2019 06:24,2.5,"home
"
283,59,20,TOH4508765,10/1/2019 06:28,2.8,"away
"
284,49,23,VNK5211146,10/1/2019 07:06,1.25,"home
"
285,4,9,RNX5573794,10/1/2019 09:47,2.8,"away
"
286,19,54,VXO5341372,10/1/2019 09:57,2.8,"home
"
287,39,3,RCB0419705,10/1/2019 10:50,2.8,"home
"
288,2,57,XFL2376961,10/1/2019 11:31,2.8,"away
"
289,31,28,NDO5553932,10/1/2019 13:16,2.8,"home
"
290,94,39,XXG1012689,10/1/2019 14:13,2.5,"home
"
291,28,48,BUE8856354,10/1/2019 14:38,2.8,"home
"
292,13,36,HOM4753925,10/1/2019 15:28,2.8,"home
"
293,78,21,SEK9690966,10/1/2019 17:38,1.0,"home
"
294,11,35,PBQ8194472,10/1/2019 18:06,1.25,"home
"
295,45,72,RSL4446153,10/1/2019 18:22,2.8,"home
"
296,11,37,ZLJ6963762,10/1/2019 20:52,1.25,"home
"
297,43,11,RWG6921523,10/1/2019 20:58,13.0,"home
"
298,88,34,ODH4025527,10/1/2019 21:25,1.25,"home
"
299,70,52,LRO6012832,10/1/2019 22:33,1.5,"away
"
300,39,11,OWN2040268,10/1/2019 22:51,1.0,"home
"
301,61,57,INB9199595,11/1/2019 00:02,1.5,"home
"
302,12,10,EVM7404972,11/1/2019 00:03,1.0,"home
"
303,77,40,TVQ0671376,11/1/2019 00:55,2.5,"home
"
304,28,51,LFV5670084,11/1/2019 01:15,2.8,"home
"
305,17,74,RFX1371677,11/1/2019 01:41,1.0,"home
"
306,78,21,UTL3484031,11/1/2019 02:11,1.0,"home
"
307,50,48,NXL2041620,11/1/2019 02:30,2.5,"home
"
308,16,49,ZNJ1049151,11/1/2019 02:37,1.25,"home
"
309,37,19,WOX8452591,11/1/2019 02:42,1.5,"home
"
310,70,46,CDB3019504,11/1/2019 02:47,1.0,"away
"
311,61,54,KVZ2606955,11/1/2019 03:04,1.5,"home
"
312,88,23,GYR4605539,11/1/2019 03:33,1.25,"home
"
313,8,76,LQE3984015,11/1/2019 03:35,1.0,"home
"
314,73,61,KHP0306935,11/1/2019 04:09,1.0,"home
"
315,35,77,PTS5311062,11/1/2019 05:36,2.8,"home
"
316,77,37,FUI7993951,11/1/2019 06:09,2.5,"home
"
317,44,25,FFQ7677778,11/1/2019 06:17,3.1,"away
"
318,64,66,OBK1343175,11/1/2019 06:21,2.8,"home
"
319,34,21,VPC7691320,11/1/2019 06:41,2.8,"home
"
320,28,53,KRB0046906,11/1/2019 07:00,2.8,"home
"
321,96,50,CFH4027363,11/1/2019 07:24,1.0,"away
"
322,74,55,KYL4062666,11/1/2019 07:40,1.0,"home
"
323,16,53,FRY5107918,11/1/2019 08:32,2.0,"home
"
324,99,29,KHF6369943,11/1/2019 08:37,2.8,"home
"
325,36,74,OHA0886547,11/1/2019 08:42,2.0,"home
"
326,42,21,FAN1603090,11/1/2019 09:10,2.8,"home
"
327,52,21,MAE2734230,11/1/2019 09:21,2.8,"home
"
328,77,43,VAP1319169,11/1/2019 09:44,2.5,"home
"
329,87,77,HEQ9650767,11/1/2019 11:18,2.8,"home
"
330,9,14,JYK8853857,11/1/2019 12:54,2.8,"away
"
331,96,1,AYH1207558,11/1/2019 13:40,3.1,"home
"
332,48,21,CLW1884630,11/1/2019 13:58,3.1,"home
"
333,75,11,NBJ7274983,11/1/2019 14:22,2.8,"away
"
334,71,58,NAY5893770,11/1/2019 15:08,2.5,"home
"
335,64,67,MID9503142,11/1/2019 16:05,2.8,"home
"
336,25,21,CXP3169780,11/1/2019 16:34,2.5,"home
"
337,29,28,SGD5418817,11/1/2019 17:14,3.1,"home
"
338,94,42,MBM8077350,11/1/2019 17:24,2.5,"home
"
339,77,44,GBN7975968,11/1/2019 18:16,2.5,"home
"
340,74,65,CLL1393211,11/1/2019 21:16,1.0,"home
"
341,96,4,VRE3149856,11/1/2019 21:59,3.1,"home
"
342,13,38,OXV6474062,11/1/2019 22:45,2.8,"home
"
343,40,52,ITM6027560,11/1/2019 23:07,2.8,"home
"
344,25,21,SNL6848703,11/1/2019 23:25,2.5,"home
"
345,52,21,WIE3219672,12/1/2019 00:48,2.8,"home
"
346,76,73,CGW0740748,12/1/2019 01:03,2.5,"home
"
347,50,45,GLR4345977,12/1/2019 01:24,2.5,"home
"
348,97,31,JQH3889391,12/1/2019 02:25,2.0,"home
"
349,43,18,FMV8753724,12/1/2019 03:02,13.0,"home
"
350,7,6,NWU2289217,12/1/2019 04:55,13.0,"home
"
351,73,68,FIR0060155,12/1/2019 05:28,1.0,"home
"
352,70,6,OCP6514091,12/1/2019 05:57,2.8,"home
"
353,51,65,XHE9708059,12/1/2019 06:09,2.5,"away
"
354,52,21,CLZ6123482,12/1/2019 06:25,2.8,"home
"
355,32,68,IHM2533253,12/1/2019 07:18,1.0,"home
"
356,98,19,RIU8037058,12/1/2019 07:58,3.1,"home
"
357,75,10,QCE4981246,12/1/2019 08:15,2.8,"away
"
358,31,33,ZYJ1621645,12/1/2019 09:56,2.8,"home
"
359,23,18,RSH8433688,12/1/2019 10:45,2.8,"away
"
360,40,46,QPM5227076,12/1/2019 11:37,1.5,"home
"
361,6,8,TNG2672810,12/1/2019 12:15,2.8,"away
"
362,24,59,CDJ9717964,12/1/2019 12:50,3.1,"home
"
363,48,21,LBD4902785,12/1/2019 13:13,3.1,"home
"
364,30,30,SQI6683172,12/1/2019 13:15,1.5,"away
"
365,97,31,PRS4213078,12/1/2019 15:42,2.0,"home
"
366,17,82,MCG7137175,12/1/2019 15:57,1.0,"home
"
367,57,80,WMA6030194,12/1/2019 16:06,2.5,"home
"
368,51,71,UPB5659435,12/1/2019 16:21,2.8,"away
"
369,92,51,CKQ9279270,12/1/2019 16:24,1.0,"home
"
370,30,5,YGN1666843,12/1/2019 16:27,2.0,"home
"
371,91,45,OBA4954168,12/1/2019 17:04,1.0,"away
"
372,43,19,VOL1460364,12/1/2019 17:23,13.0,"home
"
373,22,71,JYB4760826,12/1/2019 17:54,3.1,"home
"
374,97,54,FFK0225004,12/1/2019 18:08,2.5,"away
"
375,14,3,LLB0471775,12/1/2019 19:28,2.8,"away
"
376,1,43,INI0201525,12/1/2019 21:28,2.0,"home
"
377,57,77,DZR9767384,12/1/2019 21:48,2.5,"home
"
378,83,78,HMK5885792,12/1/2019 22:53,1.25,"away
"
379,87,71,MET8174555,12/1/2019 23:56,2.8,"home
"
380,92,52,DHU9817798,12/1/2019 23:58,1.0,"home
"
381,6,54,KUC2073600,13/1/2019 00:18,2.0,"home
"
382,70,2,AQO2969238,13/1/2019 00:47,2.8,"home
"
383,48,21,UJX9130694,13/1/2019 01:02,3.1,"home
"
384,93,40,KEB2828262,13/1/2019 02:03,2.2,"home
"
385,100,12,HBO9619096,13/1/2019 02:48,2.8,"home
"
386,85,75,YLC3733356,13/1/2019 02:54,2.0,"home
"
387,30,20,IFJ8804175,13/1/2019 02:59,2.0,"home
"
388,6,59,EVZ1481466,13/1/2019 03:45,2.0,"home
"
389,26,21,NOZ0212477,13/1/2019 04:04,2.5,"home
"
390,14,23,RWS8558509,13/1/2019 04:07,13.0,"home
"
391,17,84,FQK0726278,13/1/2019 04:21,2.0,"home
"
392,97,27,DAN7464776,13/1/2019 05:13,2.0,"home
"
393,62,41,IZL4791741,13/1/2019 06:58,1.0,"home
"
394,97,32,IYW9830430,13/1/2019 07:02,3.1,"home
"
395,89,74,ZEE7420586,13/1/2019 07:13,2.8,"home
"
396,54,33,OKU6781687,13/1/2019 07:46,2.5,"away
"
397,6,66,XWB1837968,13/1/2019 09:36,2.0,"home
"
398,54,49,TDH6807915,13/1/2019 09:59,2.8,"home
"
399,61,63,MBY4090004,13/1/2019 12:41,1.5,"home
"
400,50,48,SLZ1785430,13/1/2019 13:01,2.5,"home
"
401,90,21,KKG3489214,13/1/2019 13:34,2.8,"home
"
402,35,84,VNY7087651,13/1/2019 14:35,2.8,"home
"
403,42,21,JRQ7810955,13/1/2019 14:57,2.8,"home
"
404,61,59,EBQ6119895,13/1/2019 15:11,1.5,"home
"
405,81,74,ZTP9953374,13/1/2019 15:31,2.2,"home
"
406,74,55,JPR3884041,13/1/2019 16:49,1.0,"home
"
407,43,36,VOB6953248,13/1/2019 16:54,1.0,"away
"
408,75,4,UPV7982589,13/1/2019 17:07,2.8,"away
"
409,19,68,ZNP2412133,13/1/2019 17:13,2.8,"home
"
410,70,18,KEF4554300,13/1/2019 18:18,2.8,"home
"
411,44,62,FSK2830869,13/1/2019 20:07,1.5,"home
"
412,69,37,KSN8423580,13/1/2019 20:20,1.5,"home
"
413,42,21,SZQ9952433,13/1/2019 20:56,2.8,"home
"
414,43,50,VAK2777158,13/1/2019 21:05,3.1,"away
"
415,4,73,VKZ8047592,13/1/2019 21:14,1.25,"away
"
416,46,64,VSL7267624,13/1/2019 22:07,1.5,"home
"
417,5,39,RCP7292765,13/1/2019 22:30,1.25,"home
"
418,12,4,PKE8909615,13/1/2019 22:41,1.0,"home
"
419,46,54,JGI8536483,13/1/2019 23:23,2.8,"home
"
420,13,77,ZRR1312086,14/1/2019 00:12,2.0,"away
"
